Word,log_freq_pm,Nletters,Nphon,Nsyll,Perc_known_final,letters_per_syll,phon_per_syll,letters_per_phon,letters_x_syll,phon_x_syll,is_lemma_match,lemma_length_diff,AoA_final,Age_Group
arrow,2.1796417067783525,5,3,2,0.9989653388515262,2.5,1.5,1.6666666666666667,10,6,1,0,6.07,age_6_8
arrows,1.479820419130714,6,4,2,0.9989653388515262,3.0,2.0,1.5,12,8,0,1,6.07,age_6_8
arsenal,1.0986122886681098,7,7,3,1.0,2.3333333333333335,2.3333333333333335,1.0,21,21,1,0,11.79,age_8_plus
arson,1.3862943611198906,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,11.2,age_8_plus
art,4.273939092510131,3,3,1,1.0,3.0,3.0,1.0,3,3,1,0,6.21,age_6_8
artery,1.8427259128200826,6,5,3,0.8888888888888888,2.0,1.6666666666666667,1.2,18,15,1,0,13.06,age_8_plus
article,3.0237669756719714,7,7,3,1.0,2.3333333333333335,2.3333333333333335,1.0,21,21,1,0,8.61,age_8_plus
articles,1.951496755763953,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,0,1,8.61,age_8_plus
artificial,1.7619065060783738,10,9,4,1.0,2.5,2.25,1.1111111111111112,40,36,1,0,10.16,age_8_plus
artillery,1.8702927426527372,9,7,4,1.0,2.25,1.75,1.2857142857142858,36,28,1,0,10.68,age_8_plus
artist,3.388701329548414,6,6,2,1.0,3.0,3.0,1.0,12,12,1,0,6.78,age_6_8
artistic,1.778601384650544,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,1,0,9.17,age_8_plus
artists,2.2059014213619084,7,7,2,1.0,3.5,3.5,1.0,14,14,0,1,6.78,age_6_8
arts,2.323924409029041,4,4,1,1.0,4.0,4.0,1.0,4,4,1,0,5.965949000000001,below_6
as,7.704370008197268,2,2,1,1.0,2.0,2.0,1.0,2,2,1,0,6.104490000000001,age_6_8
ash,2.3220031788511473,3,2,1,1.0,3.0,2.0,1.5,3,2,1,0,6.626683000000002,age_6_8
ashamed,3.3454220939071577,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,7.11,age_6_8
ashes,2.385339054022958,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,7.06362,age_6_8
ashore,1.976257305444605,6,4,2,1.0,3.0,2.0,1.5,12,8,1,0,9.067136000000001,age_8_plus
ashtray,1.4480717208161338,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,5.95,below_6
aside,3.2094194896261654,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,7.894866,age_6_8
ask,6.182368451022329,3,3,1,1.0,3.0,3.0,1.0,3,3,1,0,2.89,below_6
